,Banner_2020_params,Banner_2021_params,Cameron_2021_params,Dry_Creek_2020_params,Frasier_2021_params,Little_Cottonwood_2021_params,Mores_2020_params,Mores_2021_params
Banner_2020-02-18,0.44504863303576614,0.7944729945655422,0.6142561712298964,0.6010170237014251,0.765765738493398,0.7369319259355825,0.372077809810812,0.47063807781487516
Banner_2021-03-15,-0.4272744496899956,0.3471731427214621,0.35711360653311003,0.07744555867703906,0.35762118173543295,0.03878798861051927,-0.5437900592651244,0.02947674119982673
Cameron_2021-03-19,0.2517463341543407,0.46263604232975375,0.26666308434296887,0.2609537414563206,0.386509191566985,0.5379805844184471,0.1801877715883141,0.05498895329653573
Dry_Creek_2020-02-19,-0.19023775523685482,0.40663333322840584,0.7243728137147221,0.25648872092835423,0.47193245140186,0.11574457404627603,-0.26673333755763756,0.38296083588519825
Frasier_2021-03-19,0.03774126188424407,0.3758273140532646,0.173832919497711,0.16636521414880442,0.31218309115303905,0.3232207365229943,-0.03362860677544357,-0.0034777699654478665
Little_Cottonwood_2021-03-18,-0.21283796396226748,0.3882408171689449,0.08971601743738182,0.002964301841974768,0.3117160719387425,0.3519081500283584,-0.3540244924599241,-0.28436424168914887
Mores_2020-02-09,0.5834796414476334,0.9965045609814611,0.9601197091342335,0.8265004579111285,0.9965044707950187,0.8568236370392875,0.5151436425497198,0.7640911148060141
Mores_2021-03-15,0.4763955095962432,0.886459501404593,0.6722907716803698,0.6870037622804133,0.8647983689477571,0.7893683939529538,0.39815228850706547,0.5634899641435637
