,Banner_2020_params,Banner_2021_params,Cameron_2021_params,Dry_Creek_2020_params,Frasier_2021_params,Little_Cottonwood_2021_params,Mores_2020_params,Mores_2021_params
Banner_2020-02-18,0.204608787,0.237112885,0.220119989,0.220325553,0.234770991,0.225380889,0.203823976,0.220956695
Banner_2021-03-15,0.326615582,0.220078765,0.2449799,0.223301333,0.222019131,0.244693733,0.356570258,0.243312499
Cameron_2021-03-19,0.139889171,0.13282559,0.132928807,0.130273239,0.12802129,0.144051522,0.140985075,0.135330578
Dry_Creek_2020-02-19,0.310264111,0.237825282,0.213657221,0.22585332,0.238086553,0.263793521,0.328820099,0.217773934
Frasier_2021-03-19,0.128596536,0.121148429,0.122412108,0.122406866,0.11862252,0.123597204,0.131530203,0.126892882
Little_Cottonwood_2021-03-18,0.404423552,0.363668798,0.373277391,0.382145694,0.362897085,0.359381969,0.42742977,0.419144456
Mores_2020-02-09,0.367412461,0.404897098,0.37445774,0.374427084,0.401610932,0.401757929,0.363962491,0.366480797
Mores_2021-03-15,0.222207135,0.249468857,0.21442374,0.223561599,0.240477059,0.259119019,0.218416539,0.211216285
