,min_bias,a,b,c
Banner_2020-02-18,0.32370071946495216,1.0,1.0,0.99
Banner_2021-03-15,0.0022687534101493464,1.0,1.0,0.62
Cameron_2021-03-19,0.5703645065377926,1.0,1.0,0.99
Dry_Creek_2020-02-19,-0.0014399627880544988,1.0,1.0,0.61
Frasier_2020-02-11,0.4913983799368555,1.0,1.0,0.99
Frasier_2021-03-19,-0.003701374138887628,1.0,1.0,0.84
Little_Cottonwood_2021-03-18,-0.004661840986041782,1.0,1.0,0.88
Mores_2020-02-09,0.379675320439975,1.0,1.0,0.99
Mores_2021-03-15,0.13412029011603158,1.0,1.0,0.99
