,min_rmse,params
Banner_2020-02-18,0.8279345643946592,1.5_1.0_0.7.npy
Banner_2021-03-15,0.7359421569817224,2.5_1.0_0.27.npy
Cameron_2021-03-19,1.0708681607086785,1.0_1.0_1.0.npy
Dry_Creek_2020-02-19,,
Frasier_2020-02-11,,
Frasier_2021-03-19,,
Little_Cottonwood_2021-03-18,,
Mores_2020-02-09,,
Mores_2021-03-15,,
