,B_20_params,B_21_params,C_21_params,DC_20_params,F_20_params,F_21_params,LC_21_params,M_20_params,M_21_params,Lievens,Regional
Banner_2020-02-18,0.3567839721136132,0.8483830406254893,0.31172426795485764,0.7618638993054474,0.34765362248514126,0.7309000708081667,0.6234369512204725,0.4850100031354976,0.5873010614837526,0.6866313160434802,0.7014971787724176
Banner_2021-03-15,-0.7302327172065777,0.24801513575508036,-0.9077611889763866,0.09002948112616367,-0.8359167198406074,-0.06957571572562986,-0.16867884623619828,-0.4273871735985602,-0.2867752839886787,0.014094563768516337,-0.0273269338288837
Cameron_2021-03-19,0.6159465165711508,0.95630933405543,0.5620247244550729,0.8997130968100865,0.5870440707032322,0.8539170973502633,0.8078075716402793,0.7159020464704722,0.7719577998023298,0.8503247721875411,0.8585996454617377
Dry_Creek_2020-02-19,-0.5206511284064659,0.2291346032090434,-0.6725900271927432,0.1542647627304216,-0.6209630991616133,-0.07027586682956109,-0.011298720809300307,-0.1768622043490222,-0.20685938795618874,0.1518093140783269,0.04709616528995968
Frasier_2020-02-11,0.5766472614238156,0.833304691957326,0.4851783141179815,0.803011860659052,0.5038385115746036,0.7028806177785725,0.7466835207801016,0.6903551809011511,0.6827547883401295,0.7841808131317178,0.7724424243910909
Frasier_2021-03-19,-0.013799668558493794,0.4071817209642048,-0.16848894663638608,0.3535124598352453,-0.13759127679310512,0.19198386820189164,0.25945302990233166,0.16539359996941802,0.16124694144780066,0.3669738403117371,0.3062369075178106
Little_Cottonwood_2021-03-18,-0.15231032776474643,0.7552412726392125,-0.25532529191620246,0.6494549434746614,-0.19265942918366222,0.47577643996343294,0.43018052575358573,0.21090610803251011,0.2448590976218966,0.3093025817305407,0.5156200445215997
Mores_2020-02-09,0.3140862856341373,0.9288073987724976,0.365326688142487,0.8260407616129922,0.408372585034951,0.8675288185545676,0.6456427697096041,0.4652447778062159,0.6113070120855676,0.6818622928077901,0.7351668389683216
Mores_2021-03-15,0.13294951576668623,0.7182835495404936,0.11924344189007285,0.5892487072033114,0.16387398656794905,0.639933129798628,0.4007895299287497,0.21233035265418793,0.4277452655105379,0.4807303574400521,0.520806946219282
