,min_bias,a,b,c
Banner_2020-02-18,-0.0037377750911553476,2.0,1.0,0.73
Banner_2021-03-15,-0.0007746069619680422,2.0,1.0,0.38
Cameron_2021-03-19,-0.0009610498540239645,3.0,1.0,0.76
Dry_Creek_2020-02-19,0.0013902449412800083,2.0,1.0,0.39
Frasier_2020-02-11,0.0031494343779553628,3.0,1.0,0.98
Frasier_2021-03-19,-0.0012963392723299003,1.5,1.0,0.69
Little_Cottonwood_2021-03-18,-0.0035592830665612273,2.5,1.0,0.46
Mores_2020-02-09,-0.0037900011425936633,3.0,1.0,0.5
Mores_2021-03-15,-0.004881078747313462,2.0,1.0,0.59
