,a,b,c,rmse
Mores_2021-03-15,1.0,1.0,0.8,0.9871678356947541
Little_Cottonwood_2021-03-18,1.0,1.0,0.59,1.282282303013683
Frasier_2021-03-19,1.0,1.0,0.65,0.5586463126370266
Banner_2021-03-15,1.0,1.0,0.5,0.786564437472264
Mores_2020-02-09,1.0,1.0,0.89,1.0844937624275681
Dry_Creek_2020-02-19,1.0,1.0,0.48,0.7066392360984174
Banner_2020-02-18,1.0,1.0,0.95,0.8390384580499631
Cameron_2021-03-19,1.0,1.0,1.0,1.0708681607086785
Frasier_2020-02-11,1.0,1.0,0.97,0.8168254188017351
