,a,b,c,rmse
Mores_2021-03-15,2.0,0.5,0.44,1.010791924636633
Little_Cottonwood_2021-03-18,2.0,0.5,0.44,1.2204887210124504
Frasier_2021-03-19,2.0,0.5,0.44,0.6420200552404102
Banner_2021-03-15,2.0,0.5,0.44,0.8321792247348154
Mores_2020-02-09,2.0,0.5,0.44,1.0750377607137493
Dry_Creek_2020-02-19,2.0,0.5,0.44,0.6698486914444466
Banner_2020-02-18,2.0,0.5,0.44,0.9427933450118029
Cameron_2021-03-19,2.0,0.5,0.44,1.1732216785512102
Frasier_2020-02-11,2.0,0.5,0.44,0.9346065067537624
