,a,b,c,rmse
Mores_2021-03-15,2.5,1.0,0.33,0.9944066747069155
Little_Cottonwood_2021-03-18,2.5,1.0,0.33,1.183583724094547
Frasier_2021-03-19,2.5,1.0,0.33,0.5932958305904772
Banner_2021-03-15,2.5,1.0,0.33,0.8015265215135599
Mores_2020-02-09,2.5,1.0,0.33,1.0709056310477516
Dry_Creek_2020-02-19,2.5,1.0,0.33,0.6411463392094345
Banner_2020-02-18,2.5,1.0,0.33,0.9191076699020955
Cameron_2021-03-19,2.5,1.0,0.33,1.1521975798102548
Frasier_2020-02-11,2.5,1.0,0.33,0.9091663441085831
