,a,b,c,rmse
Mores_2021-03-15,1.0,1.0,0.8,0.9871678356947541
Little_Cottonwood_2021-03-18,1.0,0.0,0.58,1.2699009999205921
Frasier_2021-03-19,1.0,1.0,0.65,0.5586463126370266
Banner_2021-03-15,1.0,0.7,0.59,0.7568381112402048
Mores_2020-02-09,1.0,0.9,0.91,1.0827957954779859
Dry_Creek_2020-02-19,1.0,0.6,0.72,0.6878126318018563
Banner_2020-02-18,1.0,1.0,0.95,0.8390384580499631
Cameron_2021-03-19,1.0,1.0,1.0,1.0708681607086785
Frasier_2020-02-11,1.0,1.0,0.97,0.8168254188017351
