,a,b,c,rmse
Mores_2021-03-15,1.5,1.0,0.56,0.9855380139530274
Little_Cottonwood_2021-03-18,3.0,1.0,0.32,1.172089774168928
Frasier_2021-03-19,1.0,1.0,0.65,0.5586463126370266
Banner_2021-03-15,2.5,1.0,0.27,0.7359421569817224
Mores_2020-02-09,3.0,1.0,0.37,1.0133509161818517
Dry_Creek_2020-02-19,3.0,1.0,0.27,0.6287453447604275
Banner_2020-02-18,1.5,1.0,0.7,0.8279345643946592
Cameron_2021-03-19,1.0,1.0,1.0,1.0708681607086785
Frasier_2020-02-11,1.0,1.0,0.97,0.8168254188017351
